MeldeLandkreis,count
LK Zollernalbkreis,17
LK Alb-Donau-Kreis,17
SK Bottrop,17
SK Münster,17
LK Dahme-Spreewald,17
LK Lindau,17
SK Baden-Baden,17
LK Holzminden,16
LK Rhein-Pfalz-Kreis,15
LK Schwandorf,15
LK Alzey-Worms,15
LK Saalekreis,15
LK Sächsische Schweiz-Osterzgebirge,15
LK Hildburghausen,15
LK Weimarer Land,14
SK Ludwigshafen,14
LK Kaiserslautern,14
LK Rottweil,14
LK Osterholz,14
LK Steinburg,14
LK Wittenberg,14
LK Neu-Ulm,14
LK Saarlouis,14
LK Ostprignitz-Ruppin,13
SK Bremerhaven,13
LK Dithmarschen,13
LK Rhön-Grabfeld,13
LK Märkisch-Oderland,13
LK Heidenheim,13
SK Herne,13
LK Ostholstein,13
LK Ahrweiler,13
SK Heilbronn,13
LK Meißen,12
LK Schaumburg,12
LK Kelheim,12
LK Diepholz,12
SK Regensburg,12
SK Kaiserslautern,12
LK Vechta,12
LK Olpe,11
LK Erlangen-Höchstadt,11
LK Cuxhaven,11
LK Günzburg,11
LK Trier-Saarburg,11
SK Ulm,11
SK Rosenheim,11
LK Kusel,11
LK Gotha,11
LK Friesland,10
SK Erlangen,10
SK Kaufbeuren,10
LK Merzig-Wadern,10
SK Mainz,10
LK Freyung-Grafenau,10
LK Leipzig,9
LK Grafschaft Bentheim,9
SK Kempten,9
SK Osnabrück,9
SK Magdeburg,9
LK Regensburg,9
LK Neumarkt i.d.OPf.,9
LK Höxter,8
LK Kassel,8
LK Kulmbach,8
LK Freudenstadt,8
LK Hersfeld-Rotenburg,8
LK Göttingen,8
SK Worms,8
SK Schwabach,8
LK Sonneberg,7
SK Bayreuth,7
SK Cottbus,7
LK Ludwigslust-Parchim,7
LK Herford,7
SK Wolfsburg,7
LK Werra-Meißner-Kreis,7
LK Greiz,7
LK Dillingen a.d.Donau,7
LK Amberg-Sulzbach,7
LK Saarpfalz-Kreis,6
LK Vogelsbergkreis,6
LK Saale-Holzland-Kreis,6
SK Aschaffenburg,6
LK Unstrut-Hainich-Kreis,6
LK Wittmund,6
SK Gera,6
SK Salzgitter,6
LK Vorpommern-Greifswald,6
LK Celle,6
LK Jerichower Land,6
LK Sömmerda,6
SK Ingolstadt,5
SK Neustadt a.d.Weinstraße,5
SK Rostock,5
LK Erzgebirgskreis,5
LK Birkenfeld,5
LK Gifhorn,5
LK Uckermark,5
LK Görlitz,5
LK Saale-Orla-Kreis,5
LK Hameln-Pyrmont,5
LK Kyffhäuserkreis,5
LK Uelzen,5
LK Neustadt a.d.Aisch-Bad Windsheim,5
LK Bayreuth,5
SK Ansbach,5
LK Börde,4
LK Südwestpfalz,4
LK Harz,4
LK Spree-Neiße,4
SK Straubing,4
LK Neunkirchen,4
LK Ilm-Kreis,4
LK Mecklenburgische Seenplatte,4
SK Memmingen,4
LK Schmalkalden-Meiningen,4
-nicht ermittelbar-,3
LK Ludwigslust,3
SK Frankfurt (Oder),3
SK Amberg,3
SK Schweinfurt,3
LK Weißenburg-Gunzenhausen,3
LK Müritz,3
SK Hof,3
LK Wartburgkreis,3
LK Mecklenburg-Strelitz,3
LK Ostvorpommern,3
LK Salzlandkreis,3
LK Nordwestmecklenburg (alt),3
LK Hof,3
LK Sankt Wendel,2
SK Stralsund,2
LK Altenburger Land,2
SK Brandenburg a.d.Havel,2
SK Schwerin,2
LK Neustadt a.d.Waldnaab,2
LK Helmstedt,2
SK Wilhelmshaven,2
LK Tirschenreuth,2
SK Neubrandenburg,2
SK Frankenthal,2
SK Eisenach,2
SK Dessau-Roßlau,2
SK Passau,2
SK Weiden i.d.OPf.,1
LK Demmin,1
LK Parchim,1
LK Hohenlohekreis,1
LK Nordvorpommern,1
LK Saalfeld-Rudolstadt,1
SK Wismar,1
LK Rostock,1
LK Nordsachsen,1
LK Stendal,1
LK Wolfenbüttel,1
LK Anhalt-Bitterfeld,1
LK Uecker-Randow,1
LK Mansfeld-Südharz,1
LK Prignitz,1
LK Oberspreewald-Lausitz,1
