OutbreakIdRecord,count
11070612.0,320
9814857.0,291
7245811.0,192
1270298.0,127
884486.0,115
9969346.0,110
5049080.0,98
947884.0,94
9943776.0,86
2958428.0,74
9076328.0,70
11790125.0,65
711836.0,60
4986132.0,54
9862421.0,50
59048356.0,50
8489118.0,48
2355531.0,48
6252460.0,46
4346437.0,46
2889010.0,44
3781561.0,44
255980.0,41
59513704.0,41
10417868.0,41
2578744.0,41
2615340.0,41
4986596.0,39
12478200.0,38
6479983.0,37
4456852.0,37
10621148.0,35
1297708.0,35
4544062.0,35
9055984.0,33
11277386.0,33
5895731.0,32
818843.0,32
11951541.0,31
256661.0,31
5291181.0,30
2987004.0,30
1012633.0,28
1319365.0,27
777809.0,27
893320.0,26
7196531.0,26
9767634.0,25
1318583.0,25
5063700.0,25
687833.0,25
59394987.0,25
12094383.0,24
2617616.0,23
4565212.0,23
798363.0,23
3113141.0,23
7873073.0,23
12642920.0,22
7837066.0,22
778387.0,22
10856635.0,22
2989374.0,21
798367.0,21
9163066.0,21
7999517.0,20
255679.0,20
7868419.0,20
10073370.0,19
904272.0,19
256438.0,19
902699.0,19
59296938.0,19
796580.0,19
255680.0,19
6132409.0,19
884128.0,18
3603237.0,18
255587.0,18
6095919.0,18
9145536.0,18
3738253.0,18
9444505.0,18
7836939.0,17
9199254.0,17
3092211.0,17
2381924.0,17
1578941.0,17
6095905.0,16
13277334.0,16
886487.0,16
9134118.0,16
776300.0,16
722745.0,16
9714919.0,16
4986131.0,16
7227866.0,15
10665105.0,15
7872373.0,15
6440606.0,15
843592.0,14
938139.0,14
3726360.0,14
11413508.0,14
4491083.0,14
4551706.0,14
8093280.0,14
3684401.0,14
820789.0,13
2977337.0,13
687497.0,13
4527456.0,13
7992170.0,13
4553613.0,13
7145158.0,13
698821.0,13
3781564.0,13
59394951.0,13
4040407.0,12
10045589.0,12
9106011.0,12
3033836.0,12
6468316.0,12
4577288.0,12
59284358.0,12
1436603.0,12
948427.0,12
255824.0,12
9730352.0,12
2547604.0,12
707559.0,12
9741576.0,12
58764136.0,12
8470442.0,12
9030587.0,11
1283025.0,11
256578.0,11
12279974.0,11
714594.0,11
9794635.0,11
9058524.0,11
11257025.0,11
714037.0,11
2660018.0,11
3040773.0,11
12552374.0,11
698832.0,11
3170168.0,11
3129346.0,11
6275842.0,11
58280374.0,10
5155618.0,10
11263592.0,10
796583.0,10
6603450.0,10
8021548.0,10
257824.0,10
4491939.0,10
3724080.0,10
3145391.0,10
9027743.0,10
4465313.0,10
11293995.0,10
4558021.0,10
2667099.0,10
2649621.0,10
58968040.0,9
9020672.0,9
2604105.0,9
8194754.0,9
11684560.0,9
8481541.0,9
256017.0,9
859348.0,9
3033827.0,9
58555598.0,9
687827.0,9
5352147.0,9
3130128.0,9
9715563.0,9
58742011.0,9
256437.0,9
5895752.0,9
12758888.0,9
7876512.0,9
4457848.0,9
7222930.0,9
4418803.0,9
2617599.0,9
2955444.0,9
258105.0,9
12204071.0,9
3213449.0,9
12261646.0,8
10660508.0,8
10077207.0,8
