ImpfungDatum,count
2019-03-21 00:00:00.000,2
1992-01-09 00:00:00.000,2
2013-09-21 00:00:00.000,2
2007-03-21 00:00:00.000,2
2011-05-27 00:00:00.000,2
2011-05-17 00:00:00.000,2
2019-04-03 00:00:00.000,2
2024-04-09 00:00:00.000,2
2015-07-02 00:00:00.000,2
2019-03-18 00:00:00.000,2
2015-04-18 00:00:00.000,2
2013-10-08 00:00:00.000,2
2002-02-19 00:00:00.000,2
2005-06-15 00:00:00.000,2
2002-06-17 00:00:00.000,2
1974-01-01 00:00:00.000,2
2005-08-04 00:00:00.000,2
2008-04-15 00:00:00.000,2
2011-06-01 00:00:00.000,2
2003-08-18 00:00:00.000,2
2005-09-21 00:00:00.000,2
2002-07-25 00:00:00.000,2
2015-04-28 00:00:00.000,2
2006-06-27 00:00:00.000,2
2008-04-28 00:00:00.000,2
2008-04-24 00:00:00.000,2
2008-05-02 00:00:00.000,2
1999-08-13 00:00:00.000,2
1999-08-10 00:00:00.000,2
2020-01-09 00:00:00.000,2
2006-05-02 00:00:00.000,2
1993-06-17 00:00:00.000,2
2011-06-08 00:00:00.000,2
2019-05-16 00:00:00.000,2
2015-05-09 00:00:00.000,2
1992-02-01 00:00:00.000,2
1990-10-29 00:00:00.000,2
2005-03-18 00:00:00.000,2
2002-06-04 00:00:00.000,2
2006-04-10 00:00:00.000,2
2015-04-13 00:00:00.000,2
2011-04-11 00:00:00.000,2
2002-07-23 00:00:00.000,2
2017-03-08 00:00:00.000,2
1975-07-01 00:00:00.000,2
2006-06-20 00:00:00.000,2
2003-01-20 00:00:00.000,2
2011-04-08 00:00:00.000,2
2013-07-18 00:00:00.000,2
2013-06-18 00:00:00.000,2
2013-05-28 00:00:00.000,2
2003-08-25 00:00:00.000,2
2007-04-27 00:00:00.000,2
2000-05-04 00:00:00.000,2
1986-01-01 00:00:00.000,2
2006-03-29 00:00:00.000,2
1998-08-25 00:00:00.000,2
2000-02-10 00:00:00.000,2
2005-09-19 00:00:00.000,2
2019-03-12 00:00:00.000,2
2002-07-18 00:00:00.000,2
2002-07-15 00:00:00.000,2
2006-06-21 00:00:00.000,2
2007-05-03 00:00:00.000,2
2005-06-09 00:00:00.000,2
2008-03-23 00:00:00.000,2
2011-04-15 00:00:00.000,2
2000-06-01 00:00:00.000,2
2015-04-15 00:00:00.000,2
1989-12-01 00:00:00.000,2
2014-10-30 00:00:00.000,1
2015-02-15 00:00:00.000,1
1998-03-14 00:00:00.000,1
1976-03-31 00:00:00.000,1
1983-04-08 00:00:00.000,1
1972-08-03 00:00:00.000,1
2014-03-20 00:00:00.000,1
2000-08-24 00:00:00.000,1
2013-06-05 00:00:00.000,1
1979-09-24 00:00:00.000,1
2013-06-08 00:00:00.000,1
1997-01-01 00:00:00.000,1
2013-06-04 00:00:00.000,1
2013-06-03 00:00:00.000,1
1985-02-28 00:00:00.000,1
2011-08-31 00:00:00.000,1
1981-09-01 00:00:00.000,1
1986-08-19 00:00:00.000,1
2013-07-12 00:00:00.000,1
2013-11-23 00:00:00.000,1
1987-03-01 00:00:00.000,1
1985-09-04 00:00:00.000,1
2006-09-22 00:00:00.000,1
1983-06-03 00:00:00.000,1
1979-01-28 00:00:00.000,1
1999-12-09 00:00:00.000,1
1981-06-01 00:00:00.000,1
2015-03-28 00:00:00.000,1
2013-05-18 00:00:00.000,1
2015-04-16 00:00:00.000,1
2011-09-14 00:00:00.000,1
2011-09-24 00:00:00.000,1
1970-07-09 00:00:00.000,1
2015-04-10 00:00:00.000,1
1966-11-22 00:00:00.000,1
2013-05-24 00:00:00.000,1
2002-05-18 00:00:00.000,1
2015-05-18 00:00:00.000,1
1976-11-16 00:00:00.000,1
1992-04-10 00:00:00.000,1
2011-01-01 00:00:00.000,1
1997-03-05 00:00:00.000,1
1994-09-01 00:00:00.000,1
2015-04-30 00:00:00.000,1
1976-07-29 00:00:00.000,1
2013-05-30 00:00:00.000,1
2003-05-22 00:00:00.000,1
2003-10-16 00:00:00.000,1
2003-08-07 00:00:00.000,1
2015-03-17 00:00:00.000,1
2015-03-13 00:00:00.000,1
1978-04-26 00:00:00.000,1
1976-09-28 00:00:00.000,1
2011-01-04 00:00:00.000,1
2015-03-18 00:00:00.000,1
2002-09-06 00:00:00.000,1
2015-03-16 00:00:00.000,1
1971-07-21 00:00:00.000,1
2015-01-15 00:00:00.000,1
1986-01-02 00:00:00.000,1
2015-03-25 00:00:00.000,1
2003-07-03 00:00:00.000,1
2015-03-19 00:00:00.000,1
1974-11-26 00:00:00.000,1
2015-01-13 00:00:00.000,1
1984-10-09 00:00:00.000,1
1985-05-09 00:00:00.000,1
1987-07-23 00:00:00.000,1
1987-01-02 00:00:00.000,1
1979-07-06 00:00:00.000,1
1982-12-04 00:00:00.000,1
1987-05-18 00:00:00.000,1
2012-01-25 00:00:00.000,1
2015-02-27 00:00:00.000,1
2014-04-10 00:00:00.000,1
2000-12-06 00:00:00.000,1
1972-06-09 00:00:00.000,1
1984-12-01 00:00:00.000,1
1983-02-11 00:00:00.000,1
2006-10-05 00:00:00.000,1
2014-02-04 00:00:00.000,1
2004-06-25 00:00:00.000,1
2014-02-13 00:00:00.000,1
2003-03-17 00:00:00.000,1
2014-03-18 00:00:00.000,1
2013-07-24 00:00:00.000,1
1970-11-12 00:00:00.000,1
2005-10-31 00:00:00.000,1
2014-04-17 00:00:00.000,1
2005-04-11 00:00:00.000,1
2009-05-26 00:00:00.000,1
1982-11-18 00:00:00.000,1
2012-10-09 00:00:00.000,1
2013-07-15 00:00:00.000,1
2004-01-15 00:00:00.000,1
2013-05-06 00:00:00.000,1
2004-07-27 00:00:00.000,1
1981-02-25 00:00:00.000,1
2010-04-10 00:00:00.000,1
2014-07-25 00:00:00.000,1
1991-03-23 00:00:00.000,1
2014-08-07 00:00:00.000,1
1984-08-13 00:00:00.000,1
2012-02-15 00:00:00.000,1
2011-12-02 00:00:00.000,1
2013-11-05 00:00:00.000,1
2006-01-02 00:00:00.000,1
2013-07-30 00:00:00.000,1
2005-04-06 00:00:00.000,1
1975-01-14 00:00:00.000,1
2012-11-23 00:00:00.000,1
2013-08-16 00:00:00.000,1
2010-03-03 00:00:00.000,1
2013-07-19 00:00:00.000,1
2013-09-07 00:00:00.000,1
1973-06-01 00:00:00.000,1
2013-09-10 00:00:00.000,1
2013-09-06 00:00:00.000,1
2013-09-09 00:00:00.000,1
2012-02-14 00:00:00.000,1
1969-02-21 00:00:00.000,1
2013-09-18 00:00:00.000,1
1978-02-15 00:00:00.000,1
2013-09-12 00:00:00.000,1
2013-10-01 00:00:00.000,1
1996-02-27 00:00:00.000,1
2013-09-16 00:00:00.000,1
2013-09-30 00:00:00.000,1
2002-01-01 00:00:00.000,1
2013-10-07 00:00:00.000,1
1967-12-14 00:00:00.000,1
2013-10-18 00:00:00.000,1
2013-10-27 00:00:00.000,1
2013-10-28 00:00:00.000,1
1980-09-24 00:00:00.000,1
2000-06-27 00:00:00.000,1
2012-06-26 00:00:00.000,1
1989-07-06 00:00:00.000,1
2013-07-29 00:00:00.000,1
1985-03-05 00:00:00.000,1
2015-02-09 00:00:00.000,1
1985-01-23 00:00:00.000,1
2015-02-16 00:00:00.000,1
1971-03-03 00:00:00.000,1
2013-07-05 00:00:00.000,1
2006-10-26 00:00:00.000,1
1970-05-22 00:00:00.000,1
2014-05-23 00:00:00.000,1
2008-07-14 00:00:00.000,1
2015-02-13 00:00:00.000,1
1981-07-15 00:00:00.000,1
2015-02-17 00:00:00.000,1
