ReportingDate,count
2015-01-20 00:00:00.000,26
2011-02-07 00:00:00.000,26
2001-11-05 00:00:00.000,26
2011-04-04 00:00:00.000,26
2015-02-24 00:00:00.000,26
2001-10-22 00:00:00.000,26
2009-03-09 00:00:00.000,26
2015-04-02 00:00:00.000,26
2013-05-22 00:00:00.000,26
2008-06-09 00:00:00.000,26
2006-07-10 00:00:00.000,26
2003-06-09 00:00:00.000,26
2003-01-06 00:00:00.000,26
2015-02-13 00:00:00.000,25
2010-11-15 00:00:00.000,25
2005-05-02 00:00:00.000,25
2003-05-19 00:00:00.000,25
2013-05-27 00:00:00.000,25
2015-04-27 00:00:00.000,24
2015-04-10 00:00:00.000,24
2006-07-17 00:00:00.000,24
2013-06-05 00:00:00.000,24
2007-03-19 00:00:00.000,24
2007-04-30 00:00:00.000,24
2010-04-26 00:00:00.000,24
2003-03-17 00:00:00.000,24
2015-04-20 00:00:00.000,24
2011-02-28 00:00:00.000,24
2013-05-14 00:00:00.000,24
2008-03-10 00:00:00.000,24
2015-04-07 00:00:00.000,24
2015-02-19 00:00:00.000,24
2001-08-20 00:00:00.000,24
2015-04-01 00:00:00.000,23
2013-05-13 00:00:00.000,23
2007-04-23 00:00:00.000,23
2010-05-03 00:00:00.000,23
2005-04-11 00:00:00.000,23
2010-05-10 00:00:00.000,23
2001-01-08 00:00:00.000,23
2015-04-21 00:00:00.000,23
2005-02-14 00:00:00.000,23
2015-01-19 00:00:00.000,23
2015-02-12 00:00:00.000,23
2002-11-04 00:00:00.000,23
2009-05-25 00:00:00.000,23
2024-10-02 00:00:00.000,23
2010-05-17 00:00:00.000,22
2002-12-09 00:00:00.000,22
2015-02-10 00:00:00.000,22
2015-04-09 00:00:00.000,22
2003-01-20 00:00:00.000,22
2001-09-10 00:00:00.000,22
2001-08-27 00:00:00.000,22
2007-05-14 00:00:00.000,22
2015-04-06 00:00:00.000,22
2003-05-12 00:00:00.000,22
2013-06-18 00:00:00.000,22
2001-10-29 00:00:00.000,22
2015-02-27 00:00:00.000,22
2011-02-21 00:00:00.000,21
2005-07-18 00:00:00.000,21
2011-03-07 00:00:00.000,21
2005-06-13 00:00:00.000,21
2011-03-21 00:00:00.000,21
2002-09-23 00:00:00.000,21
2003-07-14 00:00:00.000,21
2007-11-26 00:00:00.000,21
