InfektionsortWo,count
SK Landshut,7
SK Darmstadt,7
LK Rhein-Pfalz-Kreis,6
LK Kassel,6
SK Ulm,6
LK Ansbach,6
Bayern,6
Weißrussland/Belarus,6
Georgien,6
SK Regensburg,6
Griechenland,6
LK Oldenburg,6
LK Kitzingen,6
LK Alb-Donau-Kreis,6
LK Alzey-Worms,6
LK Bergstraße,6
Asien,6
LK Schwandorf,6
LK Osterholz,6
Afghanistan,6
LK Ammerland,6
Singapur,5
LK Vechta,5
LK Höxter,5
LK Verden,5
Nordmazedonien,5
SK Oldenburg,5
LK Rhön-Grabfeld,5
LK Pfaffenhofen a.d.Ilm,5
LK Stormarn,5
LK Herford,5
Bangladesch,5
SK Erlangen,5
LK Altenkirchen,5
LK Aachen,5
Hessen,5
LK Saalekreis,5
LK Peine,5
SK Bamberg,5
LK Diepholz,5
LK Rotenburg (Wümme),5
LK Burgenlandkreis,5
SK Herne,5
LK Freudenstadt,5
LK Steinburg,5
SK Bremerhaven,5
LK Bamberg,4
SK Kaufbeuren,4
LK Zwickau,4
Japan,4
LK Haßberge,4
LK Sächsische Schweiz-Osterzgebirge,4
LK Olpe,4
Vereinigte Arabische Emirate,4
LK Dillingen a.d.Donau,4
SK Cottbus,4
LK Eichstätt,4
Uganda,4
LK Saale-Holzland-Kreis,4
LK Herzogtum Lauenburg,4
LK Reutlingen,4
LK Celle,4
LK Waldeck-Frankenberg,4
LK Mecklenburg-Strelitz,4
SK Kempten,4
SK Schwabach,4
Äthiopien,4
LK Kelheim,4
SK Mainz,4
LK Warendorf,4
LK Jerichower Land,4
LK Goslar,4
SK Schweinfurt,4
LK Werra-Meißner-Kreis,4
LK Saarlouis,3
LK Kyffhäuserkreis,3
SK Weiden i.d.OPf.,3
Kosovo,3
Kirgisistan,3
Nordrhein-Westfalen,3
SK Amberg,3
SK Osnabrück,3
Malta,3
LK Neumarkt i.d.OPf.,3
LK Mecklenburgische Seenplatte,3
SK Neustadt a.d.Weinstraße,3
SK Frankfurt (Oder),3
Europa,3
LK Vorpommern-Rügen,3
Kenia,3
LK Neuwied,3
LK Friesland,3
LK Heidenheim,3
USA,3
LK Günzburg,3
LK Hildburghausen,3
Tansania,3
LK Groß-Gerau,3
LK Dithmarschen,3
LK Schaumburg,3
LK Regen,3
LK Rottweil,3
LK Freyung-Grafenau,3
Libanon,3
LK Altötting,3
LK Uckermark,3
LK Straubing-Bogen,3
Belgien,3
LK Schmalkalden-Meiningen,2
LK Ilm-Kreis,2
LK Südwestpfalz,2
Kamerun,2
LK Vorpommern-Greifswald,2
Myanmar,2
Brasilien,2
LK Unstrut-Hainich-Kreis,2
LK Hameln-Pyrmont,2
LK Görlitz,2
Kambodscha,2
LK Leipzig,2
Schweden,2
LK Weißenburg-Gunzenhausen,2
LK Osterode am Harz,2
Albanien,2
LK Kaiserslautern,2
Mongolei,2
LK Altenburger Land,2
LK Ostvorpommern,2
LK Rhein-Hunsrück-Kreis,2
Dschibuti,2
Dominica,2
SK Delmenhorst,2
LK Main-Tauber-Kreis,2
Somalia,2
Niedersachsen,2
LK Meißen,2
LK Saalfeld-Rudolstadt,2
LK Erzgebirgskreis,2
SK Rostock,2
LK Müritz,2
SK Ludwigshafen,2
Saudi-Arabien,2
SK Rosenheim,2
LK Kulmbach,2
LK Gifhorn,2
Monaco,2
