SequenceName,ClusterNumber,type,date
02-00706,9,D7,2002-03-28
02-00700,9,D7,2002-03-27
02-00703,9,D7,2002-03-26
02-00707,9,D7,2002-03-26
02-00683,9,D7,2002-03-22
02-00685,9,D7,2002-03-22
02-00684,9,D7,2002-03-22
02-00697,9,D7,2002-03-21
02-00682,9,D7,2002-03-21
02-00676,9,D7,2002-03-20
02-00679,9,D7,2002-03-20
02-00668,9,D7,2002-03-19
02-00660,9,D7,2002-03-18
02-00667,9,D7,2002-03-18
02-00672,9,D7,2002-03-18
02-00663,9,D7,2002-03-17
02-00659,9,D7,2002-03-17
02-00639,9,D7,2002-03-15
02-00641,9,D7,2002-03-15
02-00636,9,D7,2002-03-14
02-00637,9,D7,2002-03-14
02-00638,9,D7,2002-03-14
02-00658,9,D7,2002-03-14
02-00631,9,D7,2002-03-13
02-00633,9,D7,2002-03-12
02-00595,9,D7,2002-03-11
02-00596,9,D7,2002-03-11
02-00588,9,D7,2002-03-11
02-00590,9,D7,2002-03-10
02-00591,9,D7,2002-03-08
02-00582,9,D7,2002-03-07
02-00581,9,D7,2002-03-07
02-00586,9,D7,2002-03-06
02-00538,9,D7,2002-03-04
02-00542,9,D7,2002-03-03
02-00576,9,D7,2002-03-01
02-00531,9,D7,2002-02-28
02-00532,9,D7,2002-02-28
02-00529,9,D7,2002-02-28
02-00500,9,D7,2002-02-25
02-00533,9,D7,2002-02-25
02-00496,9,D7,2002-02-25
02-00497,9,D7,2002-02-25
02-00498,9,D7,2002-02-22
02-00486,9,D7,2002-02-21
02-00490,9,D7,2002-02-21
02-00445,9,D7,2002-02-20
02-00442,9,D7,2002-02-20
02-00492,9,D7,2002-02-20
02-00484,9,D7,2002-02-19
02-00449,9,D7,2002-02-19
02-00447,9,D7,2002-02-18
02-00446,9,D7,2002-02-18
02-00436,9,D7,2002-02-14
02-00435,9,D7,2002-02-14
02-00433,9,D7,2002-02-14
02-00411,9,D7,2002-02-13
02-00402,9,D7,2002-02-08
02-00365,9,D7,2002-02-06
02-00403,9,D7,2002-02-05
02-00356,9,D7,2002-02-01
02-00359,9,D7,2002-02-01
02-00357,9,D7,2002-01-31
02-00346,9,D7,2002-01-29
02-00348,9,D7,2002-01-29
02-00300,9,D7,2002-01-28
02-00301,9,D7,2002-01-28
02-00299,9,D7,2002-01-28
02-00296,9,D7,2002-01-25
02-00292,9,D7,2002-01-25
02-00293,9,D7,2002-01-23
02-00287,9,D7,2002-01-23
02-00290,9,D7,2002-01-22
02-00248,9,D7,2002-01-22
02-00246,9,D7,2002-01-18
02-00243,9,D7,2002-01-17
02-00245,9,D7,2002-01-17
02-00244,9,D7,2002-01-17
02-00192,9,D7,2002-01-15
02-00191,9,D7,2002-01-15
02-00184,9,D7,2002-01-10
02-00182,9,D7,2002-01-09
02-00175,9,D7,2002-01-03
02-00174,9,D7,2002-01-03
02-00002,9,D7,2001-12-27
01-02751,9,D7,2001-12-24
01-02733,9,D7,2001-12-22
01-02731,9,D7,2001-12-19
01-02725,9,D7,2001-12-17
01-02726,9,D7,2001-12-17
01-02690,9,D7,2001-12-12
01-02639,9,D7,2001-12-07
01-02636,9,D7,2001-12-06
01-02634,9,D7,2001-12-06
01-02627,9,D7,2001-12-03
01-02566,9,D7,2001-11-27
01-02606,9,D7,2001-11-27
01-02564,9,D7,2001-11-26
01-02563,9,D7,2001-11-25
01-02562,9,D7,2001-11-21
01-02524,9,D7,2001-11-15
01-02529,9,D7,2001-11-15
01-02518,9,D7,2001-11-12
01-02519,9,D7,2001-11-12
01-02693,9,D7,2001-11-11
01-02469,9,D7,2001-11-11
01-02191,9,D7,2001-10-26
01-02190,9,D7,2001-10-25
01-01965,9,D7,2001-10-12
01-01961,9,D7,2001-10-11
01-01921,9,D7,2001-10-04
01-01918,9,D7,2001-10-02
01-01917,9,D7,2001-10-02
01-01849,9,D7,2001-09-20
01-01815,9,D7,2001-09-05
01-01638,9,D7,2001-08-13
01-01641,9,D7,2001-08-13
01-01548,9,D7,2001-08-07
01-01546,9,D7,2001-08-03
01-01506,9,D7,2001-07-24
01-01256,9,D7,2001-07-09
01-01171,9,D7,2001-06-25
01-01169,9,D7,2001-06-25
01-01162,9,D7,2001-06-25
01-01065,9,D7,2001-06-18
01-01061,9,D7,2001-06-13
01-01055,9,D7,2001-06-11
01-00940,9,D7,2001-06-05
01-00939,9,D7,2001-06-05
01-00904,9,D7,2001-06-01
01-00903,9,D7,2001-06-01
01-00905,9,D7,2001-05-31
01-00875,9,D7,2001-05-29
01-00901,9,D7,2001-05-28
01-00872,9,D7,2001-05-28
01-00900,9,D7,2001-05-28
01-00850,9,D7,2001-05-23
01-00849,9,D7,2001-05-22
01-00873,9,D7,2001-05-21
01-00813,9,D7,2001-05-18
01-00806,9,D7,2001-05-14
01-00783,9,D7,2001-05-11
01-00777,9,D7,2001-05-10
01-00750,9,D7,2001-05-09
01-00776,9,D7,2001-05-09
01-00773,9,D7,2001-05-09
01-00747,9,D7,2001-05-09
01-00731,9,D7,2001-05-07
01-00809,9,D7,2001-05-07
01-00751,9,D7,2001-05-07
01-00734,9,D7,2001-05-06
01-00719,9,D7,2001-05-02
01-00663,9,D7,2001-04-27
01-00664,9,D7,2001-04-27
01-00660,9,D7,2001-04-23
01-00495,9,D7,2001-04-20
01-00399,9,D7,2001-04-13
01-00392,9,D7,2001-04-11
01-00377,9,D7,2001-04-04
01-00378,9,D7,2001-04-03
01-00336,9,D7,2001-03-30
01-00316,9,D7,2001-03-27
01-00314,9,D7,2001-03-27
01-00317,9,D7,2001-03-27
01-00320,9,D7,2001-03-26
01-00198,9,D7,2001-03-06
01-00184,9,D7,2001-02-27
01-00188,9,D7,2001-02-27
01-00171,9,D7,2001-02-14
01-00165,9,D7,2001-02-08
01-00162,9,D7,2001-02-07
01-00152,9,D7,2001-02-06
01-00118,9,D7,2001-02-01
01-00031,9,D7,2001-01-18
01-00119,9,D7,2001-02-01
00-05614,9,D7,2000-12-13
00-05615,9,D7,2000-12-13
00-05606,9,D7,2000-12-05
01-00028,9,D7,2001-01-15
00-05230,9,D7,2000-07-11
00-05211,9,D7,2000-06-29
00-05201,9,D7,2000-06-22
00-05035,9,D7,2000-06-13
00-04949,9,D7,2000-05-12
00-02833,9,D7,2000-04-18
00-02820,9,D7,2000-04-13
00-02798,9,D7,2000-04-06
00-02797,9,D7,2000-04-06
03-03622,9,D7,2003-06-10
03-03621,9,D7,2003-06-10
03-03619,9,D7,2003-06-11
03-03628,9,D7,2003-06-16
03-03617,9,D7,2003-06-09
03-03609,9,D7,2003-06-05
03-03603,9,D7,2003-06-02
03-03600,9,D7,2003-05-27
03-03599,9,D7,2003-05-26
03-00359,9,D7,2003-04-25
03-00306,9,D7,2003-04-03
03-00282,9,D7,2003-03-19
03-00283,9,D7,2003-03-17
03-00263,9,D7,2003-03-05
03-00253,9,D7,2003-02-25
03-00254,9,D7,2003-02-24
03-00239,9,D7,2003-02-18
03-00222,9,D7,2003-02-05
02-02211,9,D7,2002-12-10
02-00732,9,D7,2002-04-07
03-00236,9,D7,2003-02-17
00-02731,9,D7,2000-03-09
00-02730,9,D7,2000-03-09
00-02737,9,D7,2000-03-09
00-02733,9,D7,2000-03-09
00-02770,9,D7,2000-03-20
00-02761,9,D7,2000-03-20
00-02752,9,D7,2000-03-13
00-02732,9,D7,2000-03-09
00-02736,9,D7,2000-03-08
00-02735,9,D7,2000-03-08
00-02728,9,D7,2000-03-08
00-02725,9,D7,2000-03-08
00-02741,9,D7,2000-03-07
00-02703,9,D7,2000-03-07
00-02704,9,D7,2000-03-07
00-02702,9,D7,2000-03-07
00-00065,9,D7,2000-02-28
00-00035,9,D7,2000-02-10
00-00022,9,D7,2000-02-03
01-00727,9,D7,2001-05-04
01-00732,9,D7,2001-05-04
01-00780,9,D7,2001-05-08
01-00726,9,D7,2001-05-02
01-00396,9,D7,2001-04-12
01-00398,9,D7,2001-04-09
01-00277,9,D7,2001-03-21
01-00278,9,D7,2001-03-21
01-00218,9,D7,2001-03-07
01-00219,9,D7,2001-03-07
01-00197,9,D7,2001-03-05
01-00190,9,D7,2001-03-05
01-00183,9,D7,2001-02-26
01-00179,9,D7,2001-02-23
01-00166,9,D7,2001-02-12
01-00816,9,D7,2001-05-17
01-00313,9,D7,2001-03-24
01-00276,9,D7,2001-03-22
01-00380,9,D7,2001-04-05
01-00381,9,D7,2001-04-05
02-00487,9,D7,2002-02-21
01-00338,9,D7,2001-03-29
01-00311,9,D7,2001-03-23
01-00272,9,D7,2001-03-19
01-00192,9,D7,2001-03-05
01-00489,9,D7,2001-04-18
01-00871,9,D7,2001-05-28
01-00746,9,D7,2001-05-07
02-01094,9,D7,2002-09-19
02-01093,9,D7,2002-09-19
02-00714,9,D7,2002-04-03
02-00444,9,D7,2002-02-19
02-00025,9,D7,2002-01-03
02-00787,9,D7,2002-04-15
01-02641,9,D7,2001-12-11
02-00441,9,D7,2002-02-20
02-00360,9,D7,2002-02-01
02-00794,9,D7,2002-04-17
02-00535,9,D7,2002-03-01
00-02775,9,D7,2000-03-27
02-00661,9,D7,2002-03-18
02-00188,9,D7,2002-01-14
02-00726,9,D7,2002-04-04
01-00032,9,D7,2001-01-17
02-00440,9,D7,2002-02-19
02-00297,9,D7,2002-01-26
02-00585,9,D7,2002-03-08
12-00245,-1,B3,2012-06-21
06-00057,10,B3,2006-02-20
06-00058,10,B3,2006-02-20
07-00450,10,B3,2007-06-27
06-00054,10,B3,2006-02-17
06-00050,10,B3,2006-02-14
06-00036,10,B3,2006-02-08
06-00048,10,B3,2006-02-06
06-00025,10,B3,2006-02-01
01-01771,-1,D6,2001-09-03
12-00001,-1,D9,2012-01-02
08-00753,11,D9,2008-08-29
08-00748,11,D9,2008-08-29
09-00178,11,D9,2009-04-02
08-00746,11,D9,2008-08-24
08-00745,11,D9,2008-08-24
02-00252,-1,D4,2002-01-21
05-00424,12,D4,2005-06-17
05-00539,12,D4,2005-07-15
05-00385,12,D4,2005-06-09
05-00371,12,D4,2005-06-05
05-00350,12,D4,2005-05-28
05-00351,12,D4,2005-05-26
05-00291,12,D4,2005-05-18
05-00277,12,D4,2005-05-09
05-00273,12,D4,2005-05-06
05-00275,12,D4,2005-05-06
05-00272,12,D4,2005-05-04
05-00271,12,D4,2005-05-04
05-00257,12,D4,2005-04-28
05-00258,12,D4,2005-04-28
05-00253,12,D4,2005-04-25
05-00252,12,D4,2005-04-25
05-00248,12,D4,2005-04-22
05-00246,12,D4,2005-04-21
05-00204,12,D4,2005-03-23
05-00155,12,D4,2005-03-15
05-00135,12,D4,2005-03-07
05-00136,12,D4,2005-03-07
05-00061,12,D4,2005-01-20
10-00087,-1,D4,2010-03-22
08-00177,13,D4,2008-03-27
08-00161,13,D4,2008-03-18
06-00524,-1,D5,2006-06-09
12-00241,-1,B3,2012-07-02
23-00796,-1,B3,2023-11-10
14-00573,14,B3,2014-08-20
14-00572,14,B3,2014-08-20
14-00616,14,B3,2014-09-09
14-00584,14,B3,2014-08-25
14-00562,14,B3,2014-08-13
14-00561,14,B3,2014-08-13
14-00575,14,B3,2014-08-13
14-00543,14,B3,2014-08-05
20-00034,15,B3,2020-01-13
20-00033,15,B3,2020-01-13
20-00121,15,B3,2020-02-01
20-00079,15,B3,2020-01-21
20-00032,15,B3,2020-01-10
19-00986,15,B3,2019-08-19
19-00967,15,B3,2019-08-06
19-00846,15,B3,2019-07-09
19-00834,15,B3,2019-07-04
19-00833,15,B3,2019-07-03
19-00819,15,B3,2019-06-28
19-00306,15,B3,2019-03-06
19-00150,15,B3,2019-02-08
19-00312,15,B3,2019-02-06
19-00106,15,B3,2019-01-29
18-00899,15,B3,2018-10-23
18-00395,15,B3,2018-05-08
18-00378,15,B3,2018-05-07
18-00372,15,B3,2018-05-04
18-00373,15,B3,2018-05-04
18-00312,15,B3,2018-04-25
18-00287,15,B3,2018-04-17
18-00183,15,B3,2018-03-22
18-00168,15,B3,2018-03-08
18-00124,15,B3,2018-02-22
18-00117,15,B3,2018-02-16
18-00118,15,B3,2018-02-15
18-00119,15,B3,2018-02-12
18-00097,15,B3,2018-02-07
18-00093,15,B3,2018-02-05
18-00090,15,B3,2018-01-31
18-00063,15,B3,2018-01-25
18-00038,15,B3,2018-01-16
18-00030,15,B3,2018-01-10
18-00031,15,B3,2018-01-10
18-00015,15,B3,2018-01-03
18-00003,15,B3,2017-12-29
18-00001,15,B3,2017-12-28
17-01302,15,B3,2017-12-27
18-00004,15,B3,2017-12-27
17-01277,15,B3,2017-12-13
17-01273,15,B3,2017-11-29
17-01272,15,B3,2017-11-29
17-01079,15,B3,2017-09-28
17-01041,15,B3,2017-09-06
17-01038,15,B3,2017-09-06
17-01032,15,B3,2017-09-05
17-01031,15,B3,2017-09-01
17-01024,15,B3,2017-08-31
17-01021,15,B3,2017-08-28
17-00992,15,B3,2017-08-18
17-00986,15,B3,2017-08-16
17-00987,15,B3,2017-08-16
17-00988,15,B3,2017-08-14
17-01000,15,B3,2017-08-11
17-00981,15,B3,2017-08-10
17-00999,15,B3,2017-08-09
17-00962,15,B3,2017-08-09
17-00963,15,B3,2017-08-09
17-00969,15,B3,2017-08-08
17-00961,15,B3,2017-08-07
17-00960,15,B3,2017-08-04
17-00967,15,B3,2017-08-04
17-00942,15,B3,2017-08-03
17-00951,15,B3,2017-08-03
17-00944,15,B3,2017-08-02
17-00937,15,B3,2017-07-31
17-00966,15,B3,2017-07-31
17-00965,15,B3,2017-07-31
17-00933,15,B3,2017-07-29
17-00938,15,B3,2017-07-28
17-00934,15,B3,2017-07-28
17-00931,15,B3,2017-07-27
17-00929,15,B3,2017-07-27
17-00928,15,B3,2017-07-27
17-00922,15,B3,2017-07-24
17-00913,15,B3,2017-07-19
17-00912,15,B3,2017-07-17
17-00909,15,B3,2017-07-13
17-00902,15,B3,2017-07-11
17-00830,15,B3,2017-06-19
17-00812,15,B3,2017-06-13
17-00770,15,B3,2017-06-07
17-00841,15,B3,2017-06-07
17-00742,15,B3,2017-06-07
17-00727,15,B3,2017-06-02
17-00710,15,B3,2017-05-31
17-00720,15,B3,2017-05-31
17-00716,15,B3,2017-05-31
17-00717,15,B3,2017-05-31
17-00737,15,B3,2017-05-31
17-00730,15,B3,2017-05-30
17-00700,15,B3,2017-05-29
17-00719,15,B3,2017-05-29
17-00688,15,B3,2017-05-29
17-00690,15,B3,2017-05-29
17-00698,15,B3,2017-05-29
17-00686,15,B3,2017-05-26
17-00671,15,B3,2017-05-23
17-00675,15,B3,2017-05-23
17-00496,15,B3,2017-05-23
17-00665,15,B3,2017-05-23
17-00662,15,B3,2017-05-22
17-00658,15,B3,2017-05-19
17-00650,15,B3,2017-05-17
17-00655,15,B3,2017-05-15
17-00612,15,B3,2017-05-12
17-00631,15,B3,2017-05-11
17-00618,15,B3,2017-05-11
17-00632,15,B3,2017-05-10
17-00585,15,B3,2017-05-08
17-00626,15,B3,2017-05-08
17-00602,15,B3,2017-05-05
17-00555,15,B3,2017-05-05
17-00544,15,B3,2017-05-04
17-00578,15,B3,2017-05-04
17-00538,15,B3,2017-05-03
17-00546,15,B3,2017-05-03
17-00547,15,B3,2017-05-03
17-00522,15,B3,2017-04-27
17-00513,15,B3,2017-04-27
17-00523,15,B3,2017-04-27
17-00515,15,B3,2017-04-26
17-00554,15,B3,2017-04-25
17-00512,15,B3,2017-04-25
17-00497,15,B3,2017-04-24
17-00508,15,B3,2017-04-21
17-00659,15,B3,2017-04-20
17-00489,15,B3,2017-04-12
17-00475,15,B3,2017-04-11
17-00481,15,B3,2017-04-11
17-00466,15,B3,2017-04-08
17-00487,15,B3,2017-04-07
17-00448,15,B3,2017-04-06
17-00403,15,B3,2017-03-27
17-00404,15,B3,2017-03-27
17-00375,15,B3,2017-03-22
17-00490,15,B3,2017-03-22
17-00374,15,B3,2017-03-20
17-00364,15,B3,2017-03-17
17-00365,15,B3,2017-03-15
17-00337,15,B3,2017-03-14
17-00284,15,B3,2017-03-09
17-00362,15,B3,2017-03-09
17-00368,15,B3,2017-03-09
17-00288,15,B3,2017-03-08
17-00287,15,B3,2017-03-08
17-00281,15,B3,2017-03-07
17-00276,15,B3,2017-03-06
17-00297,15,B3,2017-03-05
17-00257,15,B3,2017-03-01
17-00256,15,B3,2017-03-01
17-00263,15,B3,2017-03-01
17-00231,15,B3,2017-02-27
17-00222,15,B3,2017-02-24
17-00260,15,B3,2017-02-23
17-00219,15,B3,2017-02-23
17-00165,15,B3,2017-02-17
17-00333,15,B3,2017-02-16
17-00367,15,B3,2017-02-11
17-00129,15,B3,2017-02-09
17-00160,15,B3,2017-02-08
17-00108,15,B3,2017-02-01
17-00150,15,B3,2017-02-01
17-00067,15,B3,2017-01-22
17-00042,15,B3,2017-01-13
16-00775,15,B3,2016-11-21
18-00298,15,B3,2018-04-25
18-00265,15,B3,2018-04-16
18-00296,15,B3,2018-04-23
18-00005,15,B3,2018-01-02
17-01216,15,B3,2017-11-20
17-01217,15,B3,2017-11-20
17-00733,15,B3,2017-06-01
17-00360,15,B3,2017-03-19
17-00344,15,B3,2017-03-14
19-00453,15,B3,2019-04-05
19-00389,15,B3,2019-03-29
19-00278,15,B3,2019-03-14
19-00263,15,B3,2019-03-13
19-00265,15,B3,2019-03-13
19-00266,15,B3,2019-03-12
19-00218,15,B3,2019-03-05
18-00664,15,B3,2018-07-08
19-00836,15,B3,2019-07-04
19-00825,15,B3,2019-06-29
19-00722,15,B3,2019-06-03
19-00690,15,B3,2019-05-28
19-00675,15,B3,2019-05-20
18-00482,15,B3,2018-05-30
18-00764,15,B3,2018-09-05
18-00462,15,B3,2018-05-28
18-00396,15,B3,2018-05-11
18-00401,15,B3,2018-05-11
18-00402,15,B3,2018-05-11
18-00349,15,B3,2018-04-30
18-00314,15,B3,2018-04-20
18-00266,15,B3,2018-04-16
18-00235,15,B3,2018-04-09
18-00221,15,B3,2018-04-05
18-00223,15,B3,2018-04-04
19-00590,15,B3,2019-04-30
19-00592,15,B3,2019-04-30
19-01006,15,B3,2019-08-27
19-00994,15,B3,2019-08-19
19-00585,15,B3,2019-04-24
18-00965,15,B3,2018-11-13
18-00654,15,B3,2018-07-11
17-01267,15,B3,2017-12-06
16-00796,15,B3,2016-11-28
16-00795,15,B3,2016-11-28
16-00792,15,B3,2016-11-29
16-00787,15,B3,2016-11-26
16-00786,15,B3,2016-11-25
16-00793,15,B3,2016-11-25
16-00774,15,B3,2016-11-20
16-00764,15,B3,2016-11-18
16-00757,15,B3,2016-11-17
16-00758,15,B3,2016-11-16
16-00707,15,B3,2016-11-07
16-00701,15,B3,2016-11-04
16-00714,15,B3,2016-11-01
16-00685,15,B3,2016-10-25
16-00648,15,B3,2016-10-11
17-00131,15,B3,2017-02-09
17-00040,15,B3,2017-01-16
17-00022,15,B3,2017-01-09
17-00020,15,B3,2017-01-06
16-00809,15,B3,2016-12-30
16-00860,15,B3,2016-12-23
16-00851,15,B3,2016-12-16
16-00815,15,B3,2016-12-01
16-00814,15,B3,2016-12-01
17-00310,15,B3,2017-02-26
17-00309,15,B3,2017-02-24
17-00203,15,B3,2017-02-15
17-00192,15,B3,2017-02-13
17-00128,15,B3,2017-02-10
17-00151,15,B3,2017-02-02
17-00149,15,B3,2017-01-27
17-00090,15,B3,2017-01-26
17-00078,15,B3,2017-01-25
17-00089,15,B3,2017-01-24
17-00059,15,B3,2017-01-20
17-00060,15,B3,2017-01-20
17-00041,15,B3,2017-01-17
17-00079,15,B3,2017-01-17
17-00052,15,B3,2017-01-17
17-00051,15,B3,2017-01-16
17-00050,15,B3,2017-01-13
17-00416,15,B3,2017-03-19
17-00330,15,B3,2017-03-14
17-00334,15,B3,2017-03-14
17-00295,15,B3,2017-03-06
18-00236,15,B3,2018-04-09
18-00255,15,B3,2018-04-12
18-00230,15,B3,2018-04-04
18-00226,15,B3,2018-03-28
18-00201,15,B3,2018-03-27
18-00173,15,B3,2018-03-17
18-00170,15,B3,2018-03-15
18-00151,15,B3,2018-03-08
18-00147,15,B3,2018-03-08
18-00152,15,B3,2018-03-08
18-00166,15,B3,2018-03-07
18-00149,15,B3,2018-03-06
18-00143,15,B3,2018-03-02
17-00271,15,B3,2017-03-06
17-00278,15,B3,2017-03-06
17-00274,15,B3,2017-03-06
17-00277,15,B3,2017-03-06
17-00336,15,B3,2017-03-14
18-00292,15,B3,2018-04-22
18-00286,15,B3,2018-04-22
17-00104,15,B3,2017-02-03
17-00046,15,B3,2017-01-19
19-00601,15,B3,2019-05-08
19-00578,15,B3,2019-04-25
19-00487,15,B3,2019-04-09
19-00355,15,B3,2019-03-19
05-00473,16,D6,2005-07-06
05-00469,16,D6,2005-07-01
05-00467,16,D6,2005-06-30
05-00464,16,D6,2005-06-27
05-00465,16,D6,2005-06-27
05-00374,16,D6,2005-06-08
05-00355,16,D6,2005-05-31
05-00353,16,D6,2005-05-31
05-00322,16,D6,2005-05-23
05-00321,16,D6,2005-05-20
05-00288,16,D6,2005-05-13
05-00287,16,D6,2005-05-13
05-00266,16,D6,2005-05-03
