Paramters,Infection Rate (_),Incubation Rate (_),Recovery Rate (_),Sampling rate,S,E,I,R,Sample,logEvery
SEIR_p_d7_r10,1.37,0.083,0.14,0.032221,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.030214,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.036699,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.030851,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.033684,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.022173,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.044545,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.040126,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.127719,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.057021,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.096957,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.130562,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.126,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.233333,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.076364,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.110526,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.091897,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.055711891,100000,1,0,0,0,7
SEIR_p_d7_r10,1.37,0.083,0.14,0.077699529,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.032221,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.030214,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.036699,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.030851,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.033684,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.022173,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.044545,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.040126,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.127719,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.057021,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.096957,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.130562,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.126,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.233333,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.076364,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.110526,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.091897,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.055711891,100000,1,0,0,0,7
SEIR_p_d7_r15,2.1,0.083,0.14,0.077699529,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.032221,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.030214,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.036699,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.030851,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.033684,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.022173,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.044545,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.040126,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.127719,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.057021,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.096957,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.130562,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.126,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.233333,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.076364,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.110526,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.091897,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.055711891,100000,1,0,0,0,7
SEIR_p_d7_r5,0.698,0.083,0.14,0.077699529,100000,1,0,0,0,7
