SequenceName	type	date
02-00188	D7	2002-01-14
02-00191	D7	2002-01-15
02-00192	D7	2002-01-15
02-00243	D7	2002-01-17
02-00244	D7	2002-01-17
02-00245	D7	2002-01-17
02-00246	D7	2002-01-18
02-00248	D7	2002-01-22
02-00252	D4	2002-01-21
02-00287	D7	2002-01-23
02-00290	D7	2002-01-22
02-00292	D7	2002-01-25
02-00293	D7	2002-01-23
02-00296	D7	2002-01-25
02-00297	D7	2002-01-26
02-00299	D7	2002-01-28
02-00300	D7	2002-01-28
02-00301	D7	2002-01-28
02-00346	D7	2002-01-29
02-00348	D7	2002-01-29
02-00356	D7	2002-02-01
02-00357	D7	2002-01-31
02-00359	D7	2002-02-01
02-00360	D7	2002-02-01
02-00365	D7	2002-02-06
02-00402	D7	2002-02-08
02-00403	D7	2002-02-05
02-00411	D7	2002-02-13
02-00433	D7	2002-02-14
02-00435	D7	2002-02-14
02-00436	D7	2002-02-14
02-00440	D7	2002-02-19
02-00441	D7	2002-02-20
02-00442	D7	2002-02-20
02-00444	D7	2002-02-19
02-00445	D7	2002-02-20
02-00446	D7	2002-02-18
02-00447	D7	2002-02-18
02-00449	D7	2002-02-19
02-00484	D7	2002-02-19
02-00486	D7	2002-02-21
02-00487	D7	2002-02-21
02-00490	D7	2002-02-21
02-00492	D7	2002-02-20
02-00496	D7	2002-02-25
02-00497	D7	2002-02-25
02-00498	D7	2002-02-22
02-00500	D7	2002-02-25
02-00529	D7	2002-02-28
02-00531	D7	2002-02-28
02-00532	D7	2002-02-28
02-00533	D7	2002-02-25
02-00535	D7	2002-03-01
02-00538	D7	2002-03-04
02-00542	D7	2002-03-03
02-00576	D7	2002-03-01
02-00581	D7	2002-03-07
02-00582	D7	2002-03-07
02-00585	D7	2002-03-08
02-00586	D7	2002-03-06
02-00588	D7	2002-03-11
02-00590	D7	2002-03-10
02-00591	D7	2002-03-08
02-00595	D7	2002-03-11
02-00596	D7	2002-03-11
02-00631	D7	2002-03-13
02-00633	D7	2002-03-12
02-00636	D7	2002-03-14
02-00637	D7	2002-03-14
02-00638	D7	2002-03-14
02-00639	D7	2002-03-15
02-00641	D7	2002-03-15
02-00658	D7	2002-03-14
02-00659	D7	2002-03-17
02-00660	D7	2002-03-18
02-00661	D7	2002-03-18
02-00663	D7	2002-03-17
02-00667	D7	2002-03-18
02-00668	D7	2002-03-19
02-00672	D7	2002-03-18
02-00676	D7	2002-03-20
02-00679	D7	2002-03-20
02-00682	D7	2002-03-21
02-00683	D7	2002-03-22
02-00684	D7	2002-03-22
02-00685	D7	2002-03-22
02-00697	D7	2002-03-21
02-00700	D7	2002-03-27
02-00703	D7	2002-03-26
