SequenceName	type	date
09-00072	D5	2009-02-09
09-00074	D4	2009-02-04
09-00077	D8	2009-02-06
09-00086	D4	2009-02-16
09-00109	D4	2009-03-03
09-00110	D4	2009-03-04
09-00118	D4	2009-03-09
09-00128	D4	2009-01-01
09-00129	D4	2009-03-03
09-00132	D4	2009-03-04
09-00133	D4	2009-03-12
09-00137	D4	2009-03-05
09-00138	D4	2009-03-05
09-00143	D4	2009-03-12
09-00144	D4	2009-03-11
09-00146	D4	2009-03-16
09-00150	D4	2009-03-17
09-00153	D4	2009-03-17
09-00154	H1	2009-03-20
09-00158	D4	2009-03-24
09-00173	D4	2009-03-30
09-00176	D4	2009-03-10
09-00177	D4	2009-03-19
09-00178	D9	2009-04-02
09-00180	D4	2009-04-03
09-00182	D4	2009-04-03
09-00183	D4	2009-04-03
09-00184	D4	2009-04-03
09-00185	D4	2009-04-03
09-00186	D4	2009-04-03
09-00188	D4	2009-04-03
09-00189	D4	2009-04-03
09-00214	D4	2009-04-17
09-00215	D4	2009-04-17
09-00216	D4	2009-04-16
09-00220	D4	2009-04-17
09-00246	D4	2009-04-30
09-00247	D4	2009-04-29
09-00249	D4	2009-05-04
09-00250	D4	2009-05-04
09-00251	D4	2009-05-05
09-00253	H1	2009-05-06
09-00254	D4	2009-05-06
09-00255	D4	2009-05-06
09-00256	D4	2009-05-05
09-00257	D4	2009-05-06
09-00259	D4	2009-05-11
09-00260	D4	2009-05-11
09-00261	D4	2009-05-11
09-00262	D4	2009-05-11
09-00263	D4	2009-05-11
09-00265	D4	2009-05-12
09-00275	D4	2009-05-08
09-00279	D4	2009-05-19
09-00280	D4	2009-05-19
09-00282	D4	2009-05-19
09-00283	D4	2009-05-19
09-00284	D4	2009-05-19
09-00286	D4	2009-05-19
09-00287	D4	2009-05-19
09-00289	D4	2009-05-19
09-00290	D4	2009-05-19
09-00292	D4	2009-05-20
09-00294	D4	2009-05-21
09-00295	D4	2009-05-21
09-00296	D4	2009-05-21
09-00299	D4	2009-05-19
09-00300	D4	2009-05-19
09-00305	D4	2009-05-27
09-00306	D4	2009-05-27
09-00310	D4	2009-05-28
09-00313	D4	2009-05-28
09-00314	D4	2009-05-28
09-00327	D4	2009-05-24
09-00328	D4	2009-05-26
09-00343	D4	2009-06-05
09-00345	D4	2009-06-05
09-00356	D4	2009-06-10
09-00363	D4	2009-06-15
09-00367	D4	2009-06-25
09-00424	D4	2009-09-11
09-00425	D4	2009-09-11
09-00426	D4	2009-09-11
09-00427	D4	2009-09-11
09-00428	D4	2009-09-11
09-00429	D4	2009-09-11
10-00006	D8	2010-01-19
10-00017	D8	2010-01-29
10-00018	D8	2010-02-01
10-00022	D8	2010-02-02
10-00023	D8	2010-02-02
10-00026	D8	2010-02-04
10-00029	D8	2010-02-05
10-00033	D8	2010-02-15
10-00039	D4	2010-02-15
10-00042	D4	2010-02-04
10-00049	D4	2010-02-16
10-00057	D8	2010-02-25
10-00058	D8	2010-02-25
10-00073	D8	2010-03-09
10-00075	D8	2010-03-09
10-00084	B3	2010-03-18
10-00086	D8	2010-03-22
10-00087	D4	2010-03-22
10-00088	B3	2010-03-22
10-00089	D8	2010-03-24
10-00091	D8	2010-03-25
10-00093	B3	2010-03-29
10-00097	D8	2010-03-30
10-00098	D8	2010-03-30
10-00099	D4	2010-03-31
10-00103	D4	2010-04-06
10-00105	B3	2010-04-08
10-00107	B3	2010-04-14
10-00110	D4	2010-04-19
10-00112	D8	2010-04-19
10-00123	D4	2010-04-20
10-00126	D8	2010-04-23
10-00129	D4	2010-04-27
10-00130	D4	2010-04-28
10-00133	D4	2010-04-29
10-00134	B3	2010-04-27
10-00142	D4	2010-04-30
10-00143	D4	2010-05-02
10-00145	D4	2010-04-30
10-00146	D4	2010-05-04
10-00153	D4	2010-05-03
10-00154	D4	2010-05-05
10-00156	D4	2010-05-07
10-00161	D4	2010-05-07
10-00162	D4	2010-05-07
10-00163	D4	2010-05-10
10-00164	D4	2010-05-10
10-00169	D4	2010-05-10
10-00174	D4	2010-05-11
10-00178	D4	2010-04-29
10-00180	D4	2010-05-12
10-00182	D8	2010-05-17
10-00187	D8	2010-05-18
10-00188	D4	2010-05-17
10-00189	D4	2010-05-15
10-00192	D4	2010-05-20
10-00195	D4	2010-05-25
10-00196	D4	2010-05-25
10-00197	D4	2010-05-25
10-00198	D4	2010-05-20
10-00207	D8	2010-05-26
10-00208	D4	2010-05-27
10-00209	D4	2010-05-25
10-00211	D4	2010-05-27
10-00212	D4	2010-05-31
10-00214	D4	2010-06-01
10-00216	D4	2010-06-01
10-00225	D4	2010-06-08
10-00228	D4	2010-06-07
10-00236	D4	2010-06-08
10-00244	D4	2010-06-08
10-00247	D4	2010-06-11
10-00248	D4	2010-06-11
10-00249	D4	2010-06-11
10-00250	D4	2010-06-10
10-00251	D4	2010-06-11
10-00252	D4	2010-06-10
10-00254	D4	2010-06-11
10-00255	D4	2010-06-11
10-00257	D4	2010-06-14
10-00258	D4	2010-06-15
10-00259	B3	2010-06-10
10-00261	D4	2010-06-11
10-00262	D4	2010-06-11
10-00265	D4	2010-06-17
10-00266	B3	2010-06-21
10-00271	D4	2010-06-21
10-00273	D4	2010-06-21
10-00274	D4	2010-06-21
10-00276	D4	2010-06-21
10-00277	D4	2010-06-21
10-00280	D4	2010-06-22
10-00284	D4	2010-06-22
10-00285	D4	2010-06-25
10-00288	D4	2010-06-23
10-00294	B3	2010-06-29
10-00295	B3	2010-06-30
10-00299	D4	2010-07-02
10-00303	D4	2010-06-30
10-00305	D4	2010-07-05
10-00309	D4	2010-07-08
10-00310	B3	2010-07-02
10-00318	D4	2010-07-13
10-00325	B3	2010-07-16
10-00326	D4	2010-07-16
10-00327	D4	2010-07-15
10-00328	B3	2010-07-13
10-00329	D4	2010-07-16
10-00336	D4	2010-07-16
10-00345	D4	2010-07-26
10-00346	D4	2010-07-27
10-00349	D4	2010-07-27
10-00354	D4	2010-08-05
10-00359	D4	2010-08-06
10-00366	D4	2010-08-16
10-00368	D4	2010-08-19
10-00377	D4	2010-08-23
10-00379	D4	2010-08-22
10-00380	D4	2010-08-22
10-00381	D4	2010-08-22
10-00385	D4	2010-08-25
10-00386	D4	2010-08-25
10-00389	D4	2010-08-27
10-00395	D4	2010-08-19
10-00413	D4	2010-09-14
10-00423	D4	2010-09-23
10-00424	D4	2010-09-23
10-00425	D4	2010-09-23
10-00428	D4	2010-09-24
10-00430	D4	2010-09-28
10-00499	D4	2010-10-07
10-00500	G3	2010-10-05
10-00534	B3	2010-10-13
10-00545	D4	2010-10-12
10-00546	D4	2010-10-14
10-00550	D4	2010-10-14
10-00551	D4	2010-10-15
10-00557	B3	2010-10-21
10-00559	D4	2010-10-21
10-00565	D4	2010-10-25
10-00570	D4	2010-10-28
10-00572	D4	2010-11-02
10-00575	D4	2010-11-03
10-00587	D4	2010-11-03
10-00591	D4	2010-11-06
10-00598	B3	2010-11-12
10-00653	D4	2010-11-29
10-00654	D4	2010-12-01
10-00655	D4	2010-12-02
10-00661	D4	2010-12-01
10-00662	D4	2010-12-01
10-00664	D4	2010-12-06
10-00665	D4	2010-12-06
10-00673	D4	2010-12-07
10-00676	D4	2010-12-07
10-00680	D4	2010-12-10
10-00684	D4	2010-12-13
10-00685	D4	2010-12-12
10-00686	D4	2010-12-12
11-00006	B3	2011-01-10
11-00007	D4	2011-01-11
11-00011	D4	2011-01-13
11-00013	D4	2011-01-17
11-00014	D4	2011-01-17
11-00016	D4	2011-01-18
11-00018	D4	2011-01-18
11-00019	D4	2011-01-20
11-00020	D4	2011-01-20
11-00040	D4	2011-01-31
11-00043	D4	2011-02-02
11-00044	D4	2011-02-03
11-00045	D4	2011-02-04
11-00069	D4	2011-02-09
11-00070	D4	2011-02-09
11-00072	D4	2011-02-09
11-00074	D4	2011-02-08
11-00075	D4	2011-02-09
11-00077	D4	2011-02-10
11-00078	D4	2011-02-10
11-00085	D4	2011-02-11
11-00086	D4	2011-02-15
11-00088	D4	2011-01-28
11-00089	D4	2011-01-28
11-00090	D4	2011-01-28
11-00091	D4	2011-01-31
11-00092	D4	2011-01-31
11-00093	D4	2011-02-03
11-00094	D4	2011-02-08
11-00099	D4	2011-02-14
11-00106	G3	2011-02-18
11-00109	D4	2011-02-21
11-00112	D4	2011-02-18
11-00114	D4	2011-02-18
11-00116	D4	2011-02-22
11-00126	D4	2011-02-22
11-00132	D4	2011-02-22
11-00138	D4	2011-02-19
11-00139	D4	2011-02-19
11-00140	D4	2011-02-24
11-00145	D8	2011-02-22
11-00146	D4	2011-02-28
11-00151	D4	2011-03-02
11-00152	D4	2011-03-02
11-00164	D4	2011-02-07
11-00165	D4	2011-02-10
11-00166	D4	2011-02-24
11-00167	D4	2011-02-25
11-00168	D4	2011-02-24
11-00169	D4	2011-03-07
11-00170	D4	2011-03-07
11-00181	D4	2011-03-09
11-00182	D4	2011-03-09
11-00183	D4	2011-03-09
11-00187	D4	2011-03-10
11-00193	D4	2011-03-13
11-00194	D4	2011-03-12
11-00195	D4	2011-03-07
11-00196	D4	2011-03-08
11-00199	D4	2011-03-14
11-00200	D4	2011-03-14
11-00201	G3	2011-03-15
11-00202	D4	2011-03-14
11-00206	D4	2011-03-17
11-00210	D4	2011-03-17
11-00211	G3	2011-03-17
11-00222	D4	2011-03-21
11-00224	D4	2011-03-14
11-00228	D4	2011-03-22
11-00231	D4	2011-03-22
11-00232	D4	2011-03-23
11-00236	D4	2011-03-24
11-00238	D4	2011-03-25
11-00239	D4	2011-03-28
11-00240	D4	2011-03-29
11-00241	D4	2011-03-28
11-00242	D4	2011-03-10
11-00244	D4	2011-03-28
11-00248	D4	2011-03-28
11-00250	G3	2011-03-28
11-00251	G3	2011-03-28
11-00254	D4	2011-03-25
11-00255	D4	2011-03-26
11-00267	D4	2011-04-04
11-00268	D4	2011-04-04
11-00269	D4	2011-04-05
11-00270	D4	2011-04-04
11-00271	D4	2011-04-05
11-00274	D4	2011-04-05
11-00275	D4	2011-04-07
11-00276	D4	2011-04-07
11-00277	D4	2011-04-07
11-00279	D4	2011-04-06
11-00281	D4	2011-04-05
11-00282	H1	2011-04-06
11-00287	D4	2011-04-07
11-00288	D4	2011-04-07
11-00294	D4	2011-04-08
11-00297	B3	2011-04-06
11-00299	D4	2011-04-08
11-00303	D4	2011-04-08
11-00305	D4	2011-04-12
11-00316	D4	2011-04-12
11-00317	D4	2011-04-12
11-00318	D4	2011-04-13
11-00319	D4	2011-04-12
11-00324	D4	2011-04-14
11-00325	D4	2011-04-15
11-00327	D4	2011-04-18
11-00329	D4	2011-04-15
11-00330	D4	2011-04-15
11-00331	D4	2011-04-15
11-00333	D4	2011-04-19
11-00334	D4	2011-04-19
11-00335	D4	2011-04-19
11-00336	D4	2011-04-20
11-00346	D4	2011-04-21
11-00347	D4	2011-04-21
11-00349	D4	2011-04-21
11-00351	D4	2011-04-20
11-00352	D4	2011-04-21
11-00355	D4	2011-04-22
11-00362	D4	2011-04-27
11-00363	D4	2011-04-27
11-00364	D4	2011-04-26
11-00371	D4	2011-04-28
11-00376	D8	2011-04-27
11-00377	D8	2011-04-29
11-00383	D4	2011-05-02
11-00386	D4	2011-04-28
11-00392	D4	2011-05-03
11-00396	D4	2011-05-03
11-00398	D4	2011-04-27
11-00403	D4	2011-04-15
11-00404	D4	2011-04-18
11-00410	G3	2011-05-04
11-00411	D4	2011-05-04
11-00412	D4	2011-05-04
11-00413	D4	2011-05-04
11-00414	D4	2011-05-04
11-00415	G3	2011-05-04
11-00416	D4	2011-05-04
11-00417	G3	2011-05-04
11-00418	D4	2011-05-04
11-00419	D4	2011-05-04
11-00421	D4	2011-05-04
11-00422	D4	2011-05-04
11-00424	D4	2011-05-04
11-00425	D4	2011-05-04
11-00426	D4	2011-05-04
11-00427	D4	2011-05-04
11-00428	D4	2011-05-04
11-00432	D4	2011-05-06
11-00434	D4	2011-05-06
11-00437	D4	2011-05-09
11-00438	D4	2011-05-09
11-00440	D4	2011-05-09
11-00442	D4	2011-05-10
11-00443	D4	2011-05-10
11-00444	D4	2011-05-11
11-00445	D4	2011-05-11
11-00450	D4	2011-05-10
11-00453	D4	2011-05-11
11-00454	D4	2011-05-11
11-00455	D4	2011-05-06
11-00458	D4	2011-05-02
11-00459	D4	2011-05-14
11-00462	D4	2011-05-13
11-00464	D4	2011-05-16
11-00466	D4	2011-05-13
11-00467	D4	2011-05-13
11-00472	D4	2011-05-13
11-00473	D4	2011-05-13
11-00474	D4	2011-05-13
11-00476	D4	2011-05-16
11-00479	D4	2011-05-13
11-00480	D4	2011-05-16
11-00484	D4	2011-05-17
11-00486	D4	2011-05-16
11-00487	D4	2011-05-17
11-00488	D4	2011-05-17
11-00489	D4	2011-05-17
11-00491	D4	2011-05-17
11-00492	D8	2011-05-17
11-00494	D4	2011-05-17
11-00495	D4	2011-05-17
11-00496	D4	2011-05-17
11-00497	D4	2011-05-17
11-00498	D4	2011-05-17
11-00499	D4	2011-05-17
11-00501	D4	2011-05-17
11-00504	D4	2011-05-18
11-00505	D4	2011-05-18
11-00509	D4	2011-05-19
11-00510	D4	2011-05-18
11-00511	D4	2011-05-18
11-00512	D4	2011-05-18
11-00518	D4	2011-05-20
11-00520	D4	2011-05-20
11-00521	D4	2011-05-23
11-00531	D4	2011-05-16
11-00541	D4	2011-05-24
11-00542	D4	2011-05-24
11-00544	D4	2011-05-23
11-00548	D4	2011-05-23
11-00549	D4	2011-05-25
11-00551	D4	2011-05-26
11-00552	D4	2011-05-26
11-00555	D4	2011-05-26
11-00556	D4	2011-05-26
11-00557	D4	2011-05-26
11-00558	D4	2011-05-26
11-00559	D4	2011-05-26
11-00560	D4	2011-05-26
11-00569	D4	2011-05-27
11-00570	D4	2011-05-27
11-00571	D4	2011-05-27
11-00572	D4	2011-05-27
11-00577	D4	2011-05-27
11-00580	D4	2011-05-27
11-00582	D4	2011-05-27
11-00583	D4	2011-05-27
11-00584	D4	2011-05-27
11-00585	D4	2011-05-27
11-00588	D4	2011-05-30
11-00593	D4	2011-05-31
11-00599	D4	2011-06-01
11-00600	D4	2011-06-01
11-00603	D4	2011-05-31
11-00613	D4	2011-05-30
11-00615	D4	2011-06-04
11-00620	D4	2011-06-07
11-00622	D4	2011-06-07
11-00627	B3	2011-06-09
11-00628	D4	2011-06-08
11-00630	D4	2011-06-10
11-00634	D4	2011-06-14
11-00635	D8	2011-06-13
11-00646	D4	2011-05-27
11-00647	D4	2011-06-08
11-00648	D4	2011-05-31
11-00649	D4	2011-06-01
11-00650	D4	2011-06-15
11-00652	D4	2011-06-17
11-00653	D4	2011-06-17
11-00654	D4	2011-06-17
11-00655	D4	2011-06-17
11-00656	D4	2011-06-16
11-00659	D4	2011-06-17
11-00660	D8	2011-06-21
11-00661	D8	2011-06-21
11-00662	D4	2011-06-21
11-00664	D4	2011-06-15
11-00665	D4	2011-06-15
11-00667	D4	2011-05-31
11-00684	B3	2011-06-27
11-00690	D8	2011-06-27
11-00691	D8	2011-06-27
11-00694	B3	2011-06-30
11-00704	D4	2011-07-04
11-00710	D8	2011-07-05
11-00714	D8	2011-07-06
11-00715	D4	2011-07-05
11-00716	D8	2011-07-07
11-00717	D4	2011-07-08
11-00718	B3	2011-07-07
11-00721	D4	2011-07-08
11-00722	D4	2011-07-11
11-00727	D8	2011-07-11
11-00736	D8	2011-07-16
11-00738	D4	2011-07-19
11-00742	B3	2011-07-21
11-00745	D4	2011-07-28
11-00747	D4	2011-07-28
11-00749	D4	2011-08-01
11-00754	D8	2011-07-28
11-00755	D8	2011-07-28
11-00756	B3	2011-08-02
11-00774	D4	2011-08-07
11-00777	D8	2011-08-05
11-00802	D8	2011-08-18
11-00808	D8	2011-08-29
11-00819	D4	2011-09-07
11-00840	B3	2011-09-19
12-00001	D9	2012-01-02
12-00079	D4	2012-04-13
12-00098	D4	2012-04-20
12-00099	D4	2012-04-20
12-00101	D4	2012-04-23
12-00115	D4	2012-04-30
12-00123	D4	2012-04-30
12-00124	D4	2012-05-04
12-00125	D4	2012-05-04
12-00126	D4	2012-05-04
12-00127	D4	2012-05-04
12-00132	D4	2012-05-09
12-00133	D4	2012-05-07
12-00138	D4	2012-05-10
12-00141	D4	2012-05-10
12-00144	D4	2012-05-11
12-00146	D4	2012-05-11
12-00179	D4	2012-05-15
12-00184	D4	2012-05-18
12-00189	D4	2012-05-21
12-00190	D4	2012-05-21
12-00192	D4	2012-05-20
12-00196	D4	2012-05-22
12-00200	D4	2012-05-31
12-00201	D4	2012-05-31
12-00241	B3	2012-07-02
12-00245	B3	2012-06-21
12-00253	D4	2012-07-06
12-00289	D8	2012-08-29
12-00315	B3	2012-09-16
12-00381	D4	2012-11-23
12-00383	D4	2012-12-06
13-00016	D8	2013-01-22
13-00072	D8	2013-03-11
13-00073	D8	2013-03-08
13-00075	D8	2013-03-07
13-00076	D8	2013-03-12
13-00078	D8	2013-03-15
13-00080	D8	2013-03-08
13-00086	D8	2013-03-21
13-00087	D8	2013-03-20
13-00089	D8	2013-03-21
13-00092	D8	2013-03-28
13-00093	D8	2013-03-26
13-00095	D8	2013-04-02
13-00100	D4	2013-04-03
13-00101	D8	2013-04-02
13-00102	D8	2013-04-02
13-00103	D8	2013-04-02
13-00104	D8	2013-04-02
13-00108	D8	2013-04-04
13-00114	D8	2013-04-05
13-00115	D8	2013-04-08
13-00122	D8	2013-04-10
13-00123	D4	2013-04-06
13-00129	D8	2013-04-15
13-00130	D8	2013-04-12
13-00132	D8	2013-04-15
13-00133	D8	2013-04-15
13-00134	D8	2013-04-15
13-00135	D8	2013-04-12
13-00136	D8	2013-04-15
13-00139	D8	2013-04-16
13-00144	D8	2013-04-18
13-00149	D8	2013-04-22
13-00151	D4	2013-04-19
13-00152	D8	2013-04-19
13-00157	D8	2013-04-19
13-00160	D8	2013-04-23
13-00161	D8	2013-04-22
13-00162	D8	2013-04-23
13-00163	D8	2013-04-23
13-00164	D8	2013-04-23
13-00166	D8	2013-04-23
13-00169	D8	2013-04-25
13-00170	D8	2013-04-25
13-00173	D8	2013-04-24
13-00177	D8	2013-04-26
13-00181	D4	2013-04-27
13-00182	D4	2013-04-28
13-00186	D8	2013-04-29
13-00187	D8	2013-04-29
13-00189	D8	2013-04-30
13-00191	D8	2013-04-30
13-00192	D8	2013-04-26
13-00193	D8	2013-04-26
13-00197	D8	2013-04-27
13-00198	D8	2013-04-30
13-00199	D8	2013-05-02
13-00200	D8	2013-05-02
13-00202	D8	2013-05-03
13-00203	D8	2013-04-27
13-00205	D8	2013-05-06
13-00208	D8	2013-05-03
13-00209	D8	2013-05-07
13-00211	D8	2013-05-04
13-00212	D8	2013-05-06
13-00213	D8	2013-05-07
13-00214	D8	2013-05-07
13-00215	D8	2013-05-06
13-00217	D8	2013-05-06
13-00222	D8	2013-05-09
13-00223	D8	2013-05-08
13-00226	D8	2013-05-09
13-00228	D8	2013-05-13
13-00230	D8	2013-05-13
13-00247	D8	2013-05-15
13-00248	D8	2013-05-16
13-00249	D8	2013-05-15
13-00250	D8	2013-05-15
13-00251	D8	2013-05-15
13-00257	D8	2013-05-16
13-00258	D8	2013-05-16
13-00259	D8	2013-05-15
13-00260	D8	2013-05-16
13-00261	D8	2013-05-16
13-00262	D8	2013-05-16
13-00263	D8	2013-05-16
13-00297	D8	2013-05-21
13-00301	D8	2013-05-17
13-00302	D8	2013-05-19
13-00304	D8	2013-05-20
13-00305	D8	2013-05-18
13-00306	D8	2013-05-19
13-00307	D8	2013-05-18
13-00315	D8	2013-05-22
13-00316	D8	2013-05-21
13-00317	D8	2013-05-21
13-00318	D8	2013-05-21
13-00320	D8	2013-05-21
13-00329	D8	2013-05-23
13-00330	D8	2013-05-24
13-00332	D8	2013-05-23
13-00338	D8	2013-05-27
13-00339	D8	2013-05-23
13-00340	D8	2013-05-27
13-00341	D8	2013-05-23
13-00342	D8	2013-05-28
13-00349	D8	2013-05-29
13-00350	D8	2013-05-29
13-00351	D8	2013-05-27
13-00354	D8	2013-05-30
13-00355	D8	2013-05-30
13-00360	D8	2013-05-29
13-00361	D8	2013-05-30
13-00362	D8	2013-05-30
13-00365	D8	2013-05-31
13-00366	D8	2013-05-31
13-00369	D8	2013-05-29
13-00371	D8	2013-05-28
13-00372	D8	2013-05-29
13-00373	D8	2013-05-31
13-00374	D8	2013-06-03
13-00377	D8	2013-06-03
13-00379	D8	2013-06-02
13-00381	D8	2013-06-03
13-00382	D8	2013-06-03
13-00383	D8	2013-06-05
13-00385	D8	2013-06-05
13-00388	D8	2013-06-03
13-00389	D8	2013-06-05
13-00391	D8	2013-06-07
13-00393	D8	2013-06-07
13-00396	D8	2013-06-06
13-00398	D8	2013-06-08
13-00399	D8	2013-06-10
13-00402	D8	2013-06-05
13-00403	D8	2013-06-10
13-00405	D8	2013-06-07
13-00406	D8	2013-06-07
13-00409	D8	2013-06-07
13-00412	D8	2013-06-11
13-00413	D8	2013-06-10
13-00414	D8	2013-06-10
13-00416	D8	2013-06-11
13-00418	D8	2013-06-04
13-00419	D8	2013-06-04
13-00421	D8	2013-06-13
13-00422	D8	2013-06-12
13-00423	D8	2013-06-12
13-00424	D8	2013-06-12
13-00425	D8	2013-06-12
13-00426	D8	2013-06-14
13-00429	D8	2013-06-13
13-00432	D8	2013-06-03
13-00433	D8	2013-06-10
13-00437	D8	2013-06-14
13-00438	D8	2013-06-10
13-00439	D8	2013-06-09
13-00442	D8	2013-06-17
13-00447	D8	2013-06-17
13-00453	D8	2013-06-13
13-00454	D8	2013-06-19
13-00455	D8	2013-06-17
13-00460	D8	2013-06-20
13-00466	D8	2013-06-23
13-00467	D8	2013-06-23
13-00468	D8	2013-06-21
13-00470	D8	2013-06-25
13-00475	D8	2013-06-24
13-00479	D8	2013-06-25
13-00482	D8	2013-06-26
13-00486	D8	2013-06-27
13-00489	D8	2013-06-28
13-00490	D8	2013-06-28
13-00491	D8	2013-06-27
13-00521	D8	2013-07-02
13-00522	D8	2013-07-02
13-00523	D8	2013-07-02
13-00524	D8	2013-07-02
13-00532	D8	2013-07-03
13-00534	D8	2013-07-04
13-00551	D8	2013-07-01
13-00566	D8	2013-07-10
13-00567	D8	2013-07-11
13-00597	D8	2013-07-19
13-00599	D8	2013-07-23
13-00605	D8	2013-07-20
13-00614	D8	2013-07-23
13-00616	D8	2013-07-25
13-00619	D8	2013-07-24
13-00624	D8	2013-07-26
13-00633	D8	2013-08-05
13-00634	D8	2013-08-05
13-00643	D8	2013-08-09
13-00645	D8	2013-08-09
13-00646	D8	2013-08-13
13-00649	D8	2013-08-15
13-00650	D8	2013-08-13
13-00661	D8	2013-08-16
13-00665	D8	2013-08-20
13-00667	D8	2013-08-20
13-00670	D8	2013-08-26
13-00683	D8	2013-09-04
13-00689	D8	2013-08-31
13-00696	D8	2013-09-10
13-00697	D8	2013-09-16
13-00698	D8	2013-08-25
13-00700	D8	2013-09-09
13-00701	D8	2013-09-09
13-00704	D8	2013-09-16
13-00708	D8	2013-09-11
13-00709	D8	2013-09-20
13-00711	D8	2013-09-19
13-00720	D8	2013-09-23
13-00721	D8	2013-09-20
13-00733	D8	2013-09-24
13-00742	D8	2013-10-01
13-00743	D8	2013-09-30
13-00744	D8	2013-10-01
13-00763	D8	2013-10-02
13-00764	D8	2013-10-01
13-00772	D8	2013-10-20
13-00778	D9	2013-10-22
13-00779	D9	2013-10-22
13-00780	D9	2013-10-22
13-00808	D8	2013-10-29
13-00819	B3	2013-11-04
13-00820	D8	2013-11-04
13-00838	D8	2013-11-13
13-00841	D8	2013-11-20
13-00848	B3	2013-11-19
13-00855	D8	2013-11-22
13-00876	B3	2013-12-03
13-00896	D8	2013-12-16
14-00025	B3	2014-01-22
14-00043	B3	2014-02-07
14-00047	B3	2014-02-10
14-00051	H1	2014-02-13
14-00052	D8	2014-02-12
14-00053	B3	2014-02-10
14-00054	B3	2014-02-12
14-00055	D8	2014-02-08
14-00083	B3	2014-02-25
14-00099	B3	2014-03-06
14-00163	B3	2014-03-29
14-00169	B3	2014-03-23
14-00178	D8	2014-04-03
14-00210	B3	2014-04-11
14-00211	B3	2014-04-10
14-00212	B3	2014-04-10
14-00215	B3	2014-04-14
14-00221	B3	2014-04-15
14-00241	B3	2014-04-25
14-00275	B3	2014-05-01
14-00277	B3	2014-04-29
14-00279	D9	2014-05-02
14-00297	D8	2014-05-09
14-00319	D8	2014-05-16
14-00336	B3	2014-05-28
14-00348	B3	2014-06-03
14-00354	B3	2014-06-06
14-00356	D8	2014-06-05
14-00361	B3	2014-06-10
14-00370	B3	2014-06-11
14-00515	D8	2014-07-10
14-00538	D8	2014-07-29
14-00539	D8	2014-07-29
14-00543	B3	2014-08-05
14-00561	B3	2014-08-13
14-00562	B3	2014-08-13
14-00566	D8	2014-08-12
14-00572	B3	2014-08-20
14-00573	B3	2014-08-20
14-00575	B3	2014-08-13
14-00582	D8	2014-08-22
14-00584	B3	2014-08-25
14-00586	D8	2014-08-21
14-00609	D8	2014-09-05
14-00610	D8	2014-09-05
14-00611	D8	2014-09-02
14-00616	B3	2014-09-09
14-00620	D8	2014-08-07
14-00637	D8	2014-09-16
14-00638	D8	2014-09-16
14-00645	D8	2014-09-22
14-00665	D8	2014-09-26
14-00694	D8	2014-10-10
14-00698	D8	2014-10-14
14-00699	D8	2014-10-06
14-00702	D8	2014-10-15
14-00713	D8	2014-10-20
14-00728	D8	2014-10-30
14-00757	D8	2014-11-11
14-00759	D8	2014-11-13
14-00760	D8	2014-11-13
14-00761	D8	2014-11-11
14-00762	D8	2014-11-17
14-00764	D8	2014-11-17
14-00765	D8	2014-11-17
14-00828	D8	2014-12-02
14-00843	D8	2014-12-05
14-00844	D8	2014-12-05
14-00845	D8	2014-12-08
14-00846	D8	2014-12-08
14-00847	D8	2014-12-09
14-00848	D8	2014-12-09
14-00851	D8	2014-12-13
14-00852	D8	2014-12-13
14-00853	D8	2014-12-13
14-00854	D8	2014-12-12
14-00856	D8	2014-12-12
14-00857	D8	2014-12-15
14-00858	D8	2014-12-11
14-00862	D8	2014-12-15
14-00863	D8	2014-12-16
14-00864	D8	2014-12-11
14-00865	D8	2014-12-15
14-00866	D8	2014-12-17
14-00869	D8	2014-12-17
14-00872	D8	2014-12-16
14-00873	D8	2014-12-18
14-00874	D8	2014-12-18
14-00875	D8	2014-12-14
14-00876	D8	2014-12-18
14-00877	D8	2014-12-16
14-00878	D8	2014-12-22
14-00879	D8	2014-12-19
14-00880	D8	2014-12-19
14-00881	D8	2014-12-22
14-00883	D8	2014-12-18
14-00884	D8	2014-12-19
14-00886	D8	2014-12-23
14-00887	D8	2014-12-27
14-00888	D8	2014-12-23
15-00006	D8	2015-01-02
15-00007	D8	2014-12-23
15-00009	D8	2014-12-24
15-00010	D8	2014-12-23
15-00012	D8	2014-12-25
15-00013	D8	2014-12-29
15-00017	D8	2014-12-23
15-00018	D8	2014-12-29
15-00021	D8	2014-12-30
15-00025	D8	2015-01-04
15-00030	D8	2015-01-03
15-00031	D8	2015-01-03
15-00033	D8	2015-01-08
15-00037	D8	2015-01-08
15-00040	D8	2015-01-08
15-00042	D8	2015-01-07
15-00043	D8	2015-01-08
15-00044	D8	2015-01-07
15-00046	D8	2014-12-30
15-00049	D8	2015-01-11
15-00050	D8	2015-01-09
15-00052	D8	2015-01-12
15-00054	D8	2015-01-12
15-00055	D8	2015-01-12
15-00057	D8	2015-01-08
15-00059	D8	2015-01-08
15-00062	D8	2015-01-13
15-00063	D8	2015-01-12
15-00064	D8	2015-01-12
15-00065	D8	2015-01-13
15-00073	D8	2015-01-14
15-00075	D8	2015-01-15
15-00076	D8	2015-01-15
15-00080	D8	2015-01-15
15-00081	D8	2015-01-14
15-00084	D8	2015-01-15
15-00087	D8	2015-01-16
15-00094	D8	2015-01-19
