,ID_seq_prefix,amount
1,00-02727,3
3,00-02772,3
0,00-00032,2
2,00-02738,2
4,01-00733,2
5,01-02468,2
6,02-00666,2
7,06-00207,2
8,10-00547,2
9,14-00171,2
